what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088396861
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088401831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088402645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088404111
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088405081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088413110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088414033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088422411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088424389
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088431468
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088433169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088439563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088441020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1508088443356
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088444055
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088446841
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088453116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088463808
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1508088466866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088476087
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088478548
activated,editor,com.soyatec.euml2.free,,"com.soyatec.uml.ClassDiagramEditor",1508088492170
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1508088495733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1508088505281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088519596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1508088524873
